TAPE,InvertRod,Bankful
0,-0.83,-3.29
1,-1.01,-3.29
3,-1.48,-3.29
4.7,-1.19,-3.29
5.95,-1.19,-3.29
9.8,-1.9300000000000002,-3.29
11.7,-3.06,-3.29
13,-3.07,-3.29
14.3,-3.44,-3.29
15.2,-2.99,-3.29
15.8,-3.04,-3.29
16.4,-3.09,-3.29
17.8,-3.28,-3.29
17.9,-4.62,-3.29
18.3,-4.99,-3.29
21.7,-4.94,-3.29
22.8,-5.21,-3.29
23.2,-4.91,-3.29
24.1,-4.79,-3.29
24.4,-5.08,-3.29
24.9,-5.26,-3.29
25.5,-5.23,-3.29
26.7,-4.92,-3.29
27.5,-4.39,-3.29
28.6,-4.57,-3.29
30.3,-4.68,-3.29
31.7,-4.1,-3.29
32.6,-4.07,-3.29
34.7,-3.49,-3.29
35.4,-3.46,-3.29
35.7,-2.89,-3.29
37,-2.45,-3.29
38.9,-2.26,-3.29
39.5,-2.33,-3.29
